Username,Tier A,Tier B,Tier C,Tier D,Tier E,Tier F
TestMake,"Dustin Johnson,Cameron Smith,Collin Morikawa","Dean Burmester,Sungjae Im,Byeong Hun An","Stephan Jaeger,Kurt Kitayama,Peter Malnati","Jordan Smith,Eric Cole,Christiaan Bezuidenhout","Camilo Villegas,Padraig Harrington,Brice Garnett","Matt Dobyns,Larkin Gross,Jared Jones"
TestMakev3,"Rory Mcilroy,Jon Rahm,Brooks Koepka","Sam Burns,Tony Finau,Bryson DeChambeau","Russell Henley,Phil Mickelson,Harris English","Andrew Putnam,Seamus Power,Luke List","Jimmy Walker,Camilo Villegas,Padraig Harrington","Josh Bevell,Preston Cole,Tyler Collet"
Test04,"Rory Mcilroy,Scottie Scheffler,Jon Rahm","Ludvig Åberg,Sam Burns,Cameron Young","Akshay Bhatia,Keegan Bradley ,Adam Scott","Victor Perez,Andy Ogletree,Andrew Putnam","John Daly,Jason Dufner,Y.E. Yang","Ben Polland,Josh Bevell,Michael Block"
memi,"Jordan Spieth,Patrick Cantlay,Justin Thomas","Bryson DeChambeau,Tyrrell Hatton,Tommy Fleetwood","Adam Scott,Harris English,Emiliano Grillo","Victor Perez,Ryo Hisatsune,Nick Dunlap","Jason Dufner,Camilo Villegas,Kazuma Kobori","Josh Bevell,Evan Bowser,Matt Dobyns"
memi,"Jordan Spieth,Patrick Cantlay,Justin Thomas","Bryson DeChambeau,Tyrrell Hatton,Tommy Fleetwood","Adam Scott,Harris English,Emiliano Grillo","Victor Perez,Ryo Hisatsune,Nick Dunlap","Jason Dufner,Camilo Villegas,Kazuma Kobori","Josh Bevell,Evan Bowser,Matt Dobyns"
TestLeader,"Rory Mcilroy,Scottie Scheffler,Xander Schauffele","Ludvig Åberg,Cameron Young,Bryson DeChambeau","Keegan Bradley ,Adam Scott,Russell Henley","Andy Ogletree,Seamus Power,Nick Dunlap","Jimmy Walker,Camilo Villegas,Brice Garnett","Tyler Collet,Matt Dobyns,Larkin Gross"
Carter,"Rory Mcilroy,Scottie Scheffler,Jon Rahm","Ludvig Åberg,Sam Burns,Cameron Young","Akshay Bhatia,Keegan Bradley ,Adam Scott","Matt Wallace,Ryo Hisatsune,Seamus Power","Padraig Harrington,Brice Garnett,Kazuma Kobori","Ben Polland,Tyler Collet,Larkin Gross"
Max Mitchell,"Rory Mcilroy,Scottie Scheffler,Xander Schauffele","Ludvig Åberg,Max Homa,Bryson DeChambeau","Keegan Bradley ,Phil Mickelson,Harris English","J.T. Poston,Thomas Pieters,Eric Cole","Kazuma Kobori,Alexander Bjork,Takumi Kanaya","Preston Cole,Matt Dobyns,Larkin Gross"
